PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS
Kyrie Irvine,3,3.0,12/30/2011,19-282,CLE,@,IND,L (-7),1,33:39:00,33,39,00,8.0,19.0,0.42100000000000004,0.0,2.0,0.0,4.0,7.0,0.5710000000000001,1.0,4.0,5.0,4.0,1.0,1.0,3.0,2.0,20.0,11.3,-10.0
Kyrie Irvine,4,4.0,1/1/2012,19-284,CLE,,NJN,W (+16),1,28:08:00,28,08,00,5.0,11.0,0.455,3.0,4.0,0.75,0.0,0.0,,1.0,3.0,4.0,4.0,0.0,2.0,4.0,3.0,13.0,7.9,-3.0
Kyrie Irvine,5,5.0,1/3/2012,19-286,CLE,,CHA,W (+14),1,21:36,21,36,,8.0,10.0,0.8,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,2.0,0.0,2.0,20.0,21.9,15.0
Kyrie Irvine,6,6.0,1/4/2012,19-287,CLE,@,TOR,L (-15),1,26:11:00,26,11,00,3.0,13.0,0.231,0.0,1.0,0.0,6.0,6.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,2.0,4.0,12.0,5.0,-2.0
Kyrie Irvine,7,7.0,1/6/2012,19-289,CLE,@,MIN,W (+11),1,29:31:00,29,31,00,5.0,12.0,0.41700000000000004,1.0,2.0,0.5,3.0,3.0,1.0,1.0,4.0,5.0,5.0,0.0,1.0,7.0,4.0,14.0,5.1,0.0
Kyrie Irvine,8,8.0,1/8/2012,19-291,CLE,@,POR,L (-20),1,29:08:00,29,08,00,9.0,17.0,0.529,0.0,3.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,4.0,3.0,21.0,12.5,-12.0
Kyrie Irvine,9,9.0,1/10/2012,19-293,CLE,@,UTA,L (-8),1,27:16:00,27,16,00,7.0,14.0,0.5,1.0,4.0,0.25,5.0,6.0,0.833,0.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,20.0,12.1,1.0
Kyrie Irvine,10,10.0,1/12/2012,19-295,CLE,@,PHO,W (+11),1,27:59:00,27,59,00,11.0,17.0,0.647,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,6.0,2.0,0.0,6.0,3.0,26.0,18.8,13.0
Kyrie Irvine,11,11.0,1/13/2012,19-296,CLE,@,LAL,L (-5),1,28:12:00,28,12,00,8.0,16.0,0.5,2.0,3.0,0.667,3.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,2.0,21.0,13.0,-6.0
Kyrie Irvine,12,12.0,1/16/2012,19-299,CLE,@,CHA,W (+8),1,34:56:00,34,56,00,9.0,16.0,0.563,1.0,1.0,1.0,6.0,8.0,0.75,2.0,2.0,4.0,7.0,1.0,1.0,3.0,2.0,25.0,21.4,8.0
Kyrie Irvine,13,13.0,1/17/2012,19-300,CLE,,GSW,L (-10),1,35:45:00,35,45,00,7.0,13.0,0.5379999999999999,0.0,3.0,0.0,4.0,6.0,0.667,1.0,7.0,8.0,5.0,1.0,1.0,6.0,1.0,18.0,12.5,-7.0
Kyrie Irvine,14,14.0,1/20/2012,19-303,CLE,,CHI,L (-39),1,22:29,22,29,,5.0,11.0,0.455,3.0,4.0,0.75,0.0,0.0,,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,13.0,8.4,-9.0
Kyrie Irvine,15,15.0,1/21/2012,19-304,CLE,@,ATL,L (-27),1,27:01:00,27,01,00,8.0,10.0,0.8,1.0,2.0,0.5,1.0,4.0,0.25,0.0,2.0,2.0,2.0,0.0,1.0,7.0,3.0,18.0,7.5,-28.0
Kyrie Irvine,16,16.0,1/24/2012,19-307,CLE,@,MIA,L (-7),1,25:58:00,25,58,00,7.0,11.0,0.636,1.0,3.0,0.33299999999999996,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,17.0,12.3,-4.0
Kyrie Irvine,17,17.0,1/25/2012,19-308,CLE,,NYK,W (+10),1,30:04:00,30,04,00,1.0,7.0,0.14300000000000002,1.0,4.0,0.25,4.0,4.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,2.0,2.0,7.0,5.9,5.0
Kyrie Irvine,18,18.0,1/27/2012,19-310,CLE,,NJN,L (-3),1,31:17:00,31,17,00,12.0,20.0,0.6,2.0,5.0,0.4,6.0,8.0,0.75,4.0,2.0,6.0,2.0,2.0,0.0,1.0,2.0,32.0,27.0,1.0
Kyrie Irvine,19,19.0,1/29/2012,19-312,CLE,@,BOS,W (+1),1,33:29:00,33,29,00,10.0,14.0,0.7140000000000001,1.0,2.0,0.5,2.0,3.0,0.667,1.0,3.0,4.0,6.0,1.0,0.0,3.0,2.0,23.0,19.8,8.0
Kyrie Irvine,20,20.0,1/31/2012,19-314,CLE,,BOS,L (-3),1,37:28:00,37,28,00,7.0,16.0,0.43799999999999994,1.0,2.0,0.5,6.0,6.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,1.0,21.0,14.7,3.0
